name,photo_url
Admiral Schofield,https://nba-players.herokuapp.com/players/schofield/admiral
Damian Lillard,https://nba-players.herokuapp.com/players/lillard/damian
Daniel Gafford,https://nba-players.herokuapp.com/players/gafford/daniel
Devin Booker,https://nba-players.herokuapp.com/players/booker/devin
Dru Smith,https://nba-players.herokuapp.com/players/smith/dru
Eugene Omoruyi,https://nba-players.herokuapp.com/players/omoruyi/eugene
Giannis Antetokounmpo,https://nba-players.herokuapp.com/players/antetokounmpo/giannis
Immanuel Quickley,https://nba-players.herokuapp.com/players/quickley/immanuel
Jae Crowder,https://nba-players.herokuapp.com/players/crowder/jae
Jaylen Brown,https://nba-players.herokuapp.com/players/brown/jaylen
Jayson Tatum,https://nba-players.herokuapp.com/players/tatum/jayson
Jericho Sims,https://nba-players.herokuapp.com/players/sims/jericho
Joe Ingles,https://nba-players.herokuapp.com/players/ingles/joe
Joel Embiid,https://nba-players.herokuapp.com/players/embiid/joel
Kenneth Lofton Jr.,https://nba-players.herokuapp.com/players/jr./kenneth
Kevin Durant,https://nba-players.herokuapp.com/players/durant/kevin
Kyrie Irving,https://nba-players.herokuapp.com/players/irving/kyrie
LeBron James,https://nba-players.herokuapp.com/players/james/lebron
Luka Doncic,https://nba-players.herokuapp.com/players/doncic/luka
Mike Muscala,https://nba-players.herokuapp.com/players/muscala/mike
Nikola Jokic,https://nba-players.herokuapp.com/players/jokic/nikola
Shai Gilgeous-Alexander,https://nba-players.herokuapp.com/players/gilgeous-alexander/shai
Stephen Curry,https://nba-players.herokuapp.com/players/curry/stephen
Tony Bradley,https://nba-players.herokuapp.com/players/bradley/tony
Trae Young,https://nba-players.herokuapp.com/players/young/trae
Patrick Williams,https://nba-players.herokuapp.com/players/williams/patrick
Damion Lee,https://nba-players.herokuapp.com/players/lee/damion
James Bouknight,https://nba-players.herokuapp.com/players/bouknight/james
Keegan Murray,https://nba-players.herokuapp.com/players/murray/keegan
Lauri Markkanen,https://nba-players.herokuapp.com/players/markkanen/lauri
Quentin Grimes,https://nba-players.herokuapp.com/players/grimes/quentin
Jaylin Williams,https://nba-players.herokuapp.com/players/williams/jaylin
Victor Oladipo,https://nba-players.herokuapp.com/players/oladipo/victor
Tim Hardaway Jr.,https://nba-players.herokuapp.com/players/jr./tim
David Roddy,https://nba-players.herokuapp.com/players/roddy/david
John Wall,https://nba-players.herokuapp.com/players/wall/john
Grant Williams,https://nba-players.herokuapp.com/players/williams/grant
De'Andre Hunter,https://nba-players.herokuapp.com/players/hunter/de'andre
Edmond Sumner,https://nba-players.herokuapp.com/players/sumner/edmond
Jaden Ivey,https://nba-players.herokuapp.com/players/ivey/jaden
De'Anthony Melton,https://nba-players.herokuapp.com/players/melton/de'anthony
Devin Vassell,https://nba-players.herokuapp.com/players/vassell/devin
Theo Pinson,https://nba-players.herokuapp.com/players/pinson/theo
Dwight Powell,https://nba-players.herokuapp.com/players/powell/dwight
Andre Drummond,https://nba-players.herokuapp.com/players/drummond/andre
Oshae Brissett,https://nba-players.herokuapp.com/players/brissett/oshae
Yuta Watanabe,https://nba-players.herokuapp.com/players/watanabe/yuta
Austin Reaves,https://nba-players.herokuapp.com/players/reaves/austin
Jalen Johnson,https://nba-players.herokuapp.com/players/johnson/jalen
Keita Bates-Diop,https://nba-players.herokuapp.com/players/bates-diop/keita
