ID,name,age,minutes_played_per_game,rebounds_per_game,assists_per_game,points_per_game,team,nationality,region,rendimiento_por_minuto,nivel_jugador,conferencia,cluster_k,photo_url,player_id
1,Admiral Schofield,25,12.2,1.7,0.8,4.2,Orlando Magic,USA,America del Norte,0.549180328,Muy bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629678.png,1629678
2,Damian Lillard,32,36.3,4.8,7.3,32.2,Milwaukee Bucks,USA,America del Norte,1.220385675,Elite,Eastern Conference,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203081.png,203081
3,Daniel Gafford,24,20.6,5.6,1.1,9,Washington Wizards,USA,America del Norte,0.762135922,Promedio,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629655.png,1629655
4,Devin Booker,26,34.6,4.5,5.5,27.8,Phoenix Suns,USA,America del Norte,1.092485549,Alto,Western Conference,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png,1626164
5,Dru Smith,25,9.1,1.5,1.7,3.3,Miami Heat,USA,America del Norte,0.714285714,Bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630696.png,1630696
6,Eugene Omoruyi,25,11.8,2.3,0.5,4.9,Milwaukee Bucks,Greece,Europa,0.652542373,Bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630647.png,1630647
7,Giannis Antetokounmpo,28,32.1,11.8,5.7,31.1,Philadelphia 76ers,Cameroon,Africa,1.514018692,Elite,Eastern Conference,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,203507
8,Immanuel Quickley,23,28.9,4.2,3.4,14.9,New York Knicks,USA,America del Norte,0.778546713,Promedio,Eastern Conference,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630193.png,1630193
9,Jae Crowder,32,18.9,3.8,1.5,6.9,Sacramento Kings,USA,America del Norte,0.645502646,Bajo,Western Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203109.png,203109
10,Jaylen Brown,26,35.9,6.9,3.5,26.6,Washington Wizards,Nigeria,Africa,1.030640669,Alto,Eastern Conference,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png,1627759
11,Jayson Tatum,24,36.9,8.8,4.6,30.1,Toronto Raptors,USA,America del Norte,1.178861789,Alto,Eastern Conference,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png,1628369
12,Jericho Sims,24,15.6,4.7,0.5,3.4,Milwaukee Bucks,USA,America del Norte,0.551282051,Muy bajo,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630579.png,1630579
13,Joe Ingles,35,22.7,2.8,3.3,6.9,Boston Celtics,USA,America del Norte,0.572687225,Muy bajo,Eastern Conference,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204060.png,204060
14,Joel Embiid,28,34.6,10.2,4.2,33.1,Boston Celtics,USA,America del Norte,1.37283237,Elite,Eastern Conference,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203954.png,203954
15,Kenneth Lofton Jr.,20,7.3,2.1,0.8,5,New York Knicks,USA,America del Norte,1.082191781,Alto,Eastern Conference,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631254.png,1631254
16,Kevin Durant,34,35.6,6.7,5,29.1,Orlando Magic,Australia,Oceania,1.146067416,Alto,Eastern Conference,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png,201142
