name,age,minutes_played_per_game,rebounds_per_game,assists_per_game,points_per_game,team,nationality
Admiral Schofield,25,12.2,1.7,0.8,4.2,Orlando Magic,USA
Damian Lillard,32,36.3,4.8,7.3,32.2,Milwaukee Bucks,USA
Daniel Gafford,24,20.6,5.6,1.1,9,Washington Wizards,USA
Devin Booker,26,34.6,4.5,5.5,27.8,Phoenix Suns,USA
Dru Smith,25,9.1,1.5,1.7,3.3,Miami Heat,USA
Eugene Omoruyi,25,11.8,2.3,0.5,4.9,Milwaukee Bucks,Greece
Giannis Antetokounmpo,28,32.1,11.8,5.7,31.1,Philadelphia 76ers,Cameroon
Immanuel Quickley,23,28.9,4.2,3.4,14.9,New York Knicks,USA
Jae Crowder,32,18.9,3.8,1.5,6.9,Sacramento Kings,USA
Jaylen Brown,26,35.9,6.9,3.5,26.6,Washington Wizards,Nigeria
Jayson Tatum,24,36.9,8.8,4.6,30.1,Toronto Raptors,USA
Jericho Sims,24,15.6,4.7,0.5,3.4,Milwaukee Bucks,USA
Joe Ingles,35,22.7,2.8,3.3,6.9,Boston Celtics,USA
Joel Embiid,28,34.6,10.2,4.2,33.1,Boston Celtics,USA
Kenneth Lofton Jr.,20,7.3,2.1,0.8,5,New York Knicks,USA
Kevin Durant,34,35.6,6.7,5,29.1,Orlando Magic,Australia
Kyrie Irving,30,37.4,5.1,5.5,27.1,Utah Jazz,USA
LeBron James,38,35.5,8.3,6.8,28.9,Phoenix Suns,USA
Luka Dončić,23,36.2,8.6,8,32.4,Dallas Mavericks,USA/Australia
Mike Muscala,31,14.5,3.1,0.9,6.2,Los Angeles Lakers,USA
Nikola Jokić,27,33.7,11.8,9.8,24.5,Oklahoma City Thunder,USA
Shai Gilgeous-Alexander,24,35.5,4.8,5.5,31.4,Oklahoma City Thunder,Canada
Stephen Curry,34,34.7,6.1,6.3,29.4,Golden State Warriors,USA
Tony Bradley,25,2.8,0.9,0.1,1.6,Dallas Mavericks,USA
Trae Young,24,34.8,3,10.2,26.2,Atlanta Hawks,USA
Patrick Williams,21,28.3,4,1.2,10.2,Chicago Bulls,USA
Damion Lee,30,20.4,3,1.3,8.2,Phoenix Suns,USA
James Bouknight,22,15.1,2.1,1.2,5.6,Charlotte Hornets,USA
Keegan Murray,22,29.8,4.6,1.2,12.2,Sacramento Kings,USA
Lauri Markkanen,25,34.4,8.6,1.9,25.6,Utah Jazz,Finland
Quentin Grimes,22,29.9,3.2,2.1,11.3,New York Knicks,USA
Jaylin Williams,20,18.7,4.9,1.6,5.9,Oklahoma City Thunder,USA
Victor Oladipo,30,26.3,3,3.5,10.7,Miami Heat,USA
Tim Hardaway Jr.,30,30.3,3.5,1.8,14.4,Dallas Mavericks,USA
David Roddy,21,18,2.8,0.8,6.7,Memphis Grizzlies,USA
John Wall,32,22.2,2.7,5.2,11.4,Los Angeles Clippers,USA
Grant Williams,24,25.9,4.6,1.7,8.1,Dallas Mavericks,USA
De'Andre Hunter,25,31.7,4.2,1.4,15.4,Atlanta Hawks,USA
Edmond Sumner,27,13.9,1.5,1.3,7.1,Brooklyn Nets,USA
Jaden Ivey,20,31.1,3.9,5.2,16.3,Detroit Pistons,USA
De'Anthony Melton,24,27.9,4.1,2.6,10.1,Philadelphia 76ers,USA
Devin Vassell,22,31,3.9,3.6,18.5,San Antonio Spurs,USA
Theo Pinson,27,8.1,1.6,1.2,2.4,Dallas Mavericks,USA
Dwight Powell,31,19.2,4.1,0.9,6.7,Dallas Mavericks,Canada
Andre Drummond,29,12.7,6.6,0.5,6,Chicago Bulls,USA
Oshae Brissett,24,16.7,3.4,0.7,6.1,Boston Celtics,Canada
Yuta Watanabe,28,16,2.4,0.8,5.6,Phoenix Suns,Japan
Austin Reaves,24,28.8,3,3.4,13,Los Angeles Lakers,USA
Jalen Johnson,21,14.9,4,1.2,5.6,Atlanta Hawks,USA
Keita Bates-Diop,27,21.7,3.7,1.5,9.7,Phoenix Suns,USA
